epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.84268,1.17434,3.56187,1.40688,0.00183,0.23913,0.13435,0.07626,0.76469,3.60407,1.07552,7.5e-05,7.5e-05,7.5e-05
2,7.59559,0.88853,3.27804,1.16025,0.00382,0.32759,0.20621,0.16212,0.6292,3.4997,0.95,0.000159282,0.000159282,0.000159282
3,9.33089,0.84191,2.81971,1.13269,0.00367,0.32759,0.22157,0.19457,0.64953,3.42754,0.93094,0.0002401,0.0002401,0.0002401
4,10.9047,0.86767,2.34454,1.15701,0.00839,0.58767,0.23809,0.21193,0.70079,3.28267,0.9435,0.000317452,0.000317452,0.000317452
5,12.5345,0.92719,1.99749,1.17457,0.01191,0.73202,0.26768,0.21689,0.76423,3.20198,0.95205,0.00039134,0.00039134,0.00039134
6,14.1313,0.91868,1.67171,1.13407,0.01912,0.85096,0.43006,0.32863,0.80267,3.15245,0.97678,0.000461763,0.000461763,0.000461763
7,15.7321,0.90829,1.40487,1.11917,0.94656,0.3941,0.60104,0.47763,0.78526,3.05406,0.99873,0.00052872,0.00052872,0.00052872
8,17.504,0.84775,1.23007,1.13757,1,0.11723,0.59015,0.46416,0.80991,3.016,1.04132,0.000592213,0.000592213,0.000592213
9,19.0705,0.81964,1.13329,1.12561,0.97095,0.22826,0.47428,0.37163,0.80815,2.75842,1.0705,0.00065224,0.00065224,0.00065224
10,20.6725,0.85284,1.05821,1.11605,0.9567,0.22826,0.65593,0.51598,0.83273,2.65612,1.07296,0.000708803,0.000708803,0.000708803
11,22.277,0.8119,1.01365,1.10159,0.93305,0.26174,0.71499,0.52497,0.87985,2.55029,1.11761,0.0007619,0.0007619,0.0007619
12,23.8517,0.80703,0.98191,1.11066,0.93997,0.40005,0.89207,0.67832,0.8576,2.14116,1.12547,0.000811533,0.000811533,0.000811533
13,25.3914,0.78784,0.92506,1.07929,0.89681,0.46394,0.90612,0.68086,0.8425,1.99702,1.13151,0.0008577,0.0008577,0.0008577
14,26.9482,0.7944,0.87716,1.05763,0.82739,0.59965,0.88016,0.68973,0.86656,1.70744,1.13919,0.000900402,0.000900402,0.000900402
15,28.6452,0.81297,0.9267,1.09645,0.81645,0.68431,0.88389,0.67308,0.8204,1.57524,1.04056,0.0009035,0.0009035,0.0009035
16,30.2738,0.7911,0.89454,1.06718,0.85082,0.7349,0.87993,0.66507,0.851,1.4866,1.06446,0.00087875,0.00087875,0.00087875
17,31.7711,0.75659,0.8517,1.07149,0.87012,0.77146,0.89811,0.67114,0.87692,1.3735,1.08331,0.000854,0.000854,0.000854
18,33.574,0.7555,0.86308,1.08187,0.89227,0.7811,0.89603,0.68082,0.83223,1.39635,1.05621,0.00082925,0.00082925,0.00082925
19,35.0818,0.73508,0.84628,1.05114,0.86368,0.85468,0.88962,0.6825,0.90767,1.43055,1.13781,0.0008045,0.0008045,0.0008045
20,36.679,0.71853,0.81435,1.05781,0.84361,0.85404,0.89125,0.69412,0.86364,1.23723,1.10445,0.00077975,0.00077975,0.00077975
21,38.2229,0.69674,0.80073,1.03454,0.94208,0.774,0.89606,0.71663,0.82177,1.15301,1.09053,0.000755,0.000755,0.000755
22,39.811,0.70514,0.80742,1.042,0.84983,0.78305,0.88761,0.68877,0.82001,1.16284,1.09315,0.00073025,0.00073025,0.00073025
23,41.3358,0.71019,0.75648,1.02124,0.9562,0.86657,0.93621,0.73891,0.7707,0.95086,1.04126,0.0007055,0.0007055,0.0007055
24,42.8549,0.68378,0.76684,1.03078,0.9623,0.89055,0.93244,0.74959,0.74224,0.88916,1.00666,0.00068075,0.00068075,0.00068075
25,44.4096,0.68803,0.77685,1.02819,0.95949,0.89574,0.9322,0.74604,0.75876,0.86169,1.00759,0.000656,0.000656,0.000656
26,45.9795,0.67665,0.73886,1.00966,0.93616,0.89492,0.93244,0.74646,0.74663,0.83929,0.99524,0.00063125,0.00063125,0.00063125
27,47.7552,0.70084,0.73698,1.01123,0.92692,0.88095,0.91801,0.73755,0.73761,0.83076,0.9985,0.0006065,0.0006065,0.0006065
28,49.3648,0.69132,0.73836,1.02989,0.90026,0.88197,0.92366,0.76112,0.71167,0.80446,0.98355,0.00058175,0.00058175,0.00058175
29,50.8787,0.66862,0.70886,1.00964,0.95314,0.85263,0.92397,0.7507,0.72777,0.8001,1.00851,0.000557,0.000557,0.000557
30,52.4584,0.68885,0.69649,1.0001,0.9335,0.85512,0.90636,0.73021,0.75948,0.85636,1.0103,0.00053225,0.00053225,0.00053225
31,54.0062,0.61277,0.67601,0.98834,0.94706,0.84547,0.91612,0.73911,0.76077,0.82815,0.99466,0.0005075,0.0005075,0.0005075
32,55.5238,0.60974,0.6754,0.98755,0.92173,0.87183,0.92895,0.73344,0.76678,0.83598,0.99727,0.00048275,0.00048275,0.00048275
33,57.0824,0.62465,0.68179,0.97622,0.92762,0.84784,0.93336,0.73282,0.75343,0.82082,0.99385,0.000458,0.000458,0.000458
34,58.6422,0.66003,0.68543,0.98866,0.93706,0.87849,0.93548,0.74221,0.75541,0.79068,1.00051,0.00043325,0.00043325,0.00043325
35,60.326,0.64413,0.67934,1.00354,0.91829,0.90657,0.94193,0.75542,0.71797,0.73707,0.98074,0.0004085,0.0004085,0.0004085
36,62.0202,0.61601,0.62081,0.9732,0.88492,0.91177,0.95158,0.75571,0.69721,0.72887,0.97059,0.00038375,0.00038375,0.00038375
37,63.7512,0.60938,0.63236,0.95222,0.87708,0.90907,0.95373,0.75851,0.69824,0.72213,0.97038,0.000359,0.000359,0.000359
38,65.3087,0.59894,0.61457,0.96831,0.91766,0.88795,0.94957,0.76708,0.68902,0.70182,0.96125,0.00033425,0.00033425,0.00033425
39,66.8737,0.57631,0.62616,0.97167,0.93638,0.88925,0.94468,0.75924,0.69428,0.69561,0.9577,0.0003095,0.0003095,0.0003095
40,68.4499,0.58845,0.64466,0.96619,0.92106,0.89242,0.94649,0.76739,0.67993,0.69106,0.93827,0.00028475,0.00028475,0.00028475
41,71.5147,0.53507,0.82892,0.92268,0.90926,0.89897,0.94898,0.76786,0.67391,0.68361,0.93282,0.00026,0.00026,0.00026
42,73.2334,0.53792,0.7678,0.9056,0.88312,0.92005,0.9457,0.76165,0.72394,0.71129,0.96902,0.00023525,0.00023525,0.00023525
43,74.8355,0.54481,0.76464,0.8973,0.92649,0.90652,0.93464,0.74761,0.72479,0.74486,0.98128,0.0002105,0.0002105,0.0002105
44,76.4947,0.51155,0.717,0.91009,0.92124,0.92082,0.94082,0.76018,0.7032,0.70582,0.96415,0.00018575,0.00018575,0.00018575
45,77.9937,0.50837,0.70966,0.91628,0.92154,0.92117,0.94347,0.7533,0.7017,0.69344,0.9603,0.000161,0.000161,0.000161
46,79.5759,0.51586,0.69702,0.91881,0.92705,0.9242,0.9455,0.76464,0.69271,0.67228,0.95346,0.00013625,0.00013625,0.00013625
47,81.4454,0.49014,0.67846,0.89051,0.91381,0.93365,0.95012,0.7774,0.67107,0.64675,0.94082,0.0001115,0.0001115,0.0001115
48,83.0478,0.48868,0.66442,0.88774,0.91694,0.93819,0.95069,0.79124,0.65595,0.63372,0.93208,8.675e-05,8.675e-05,8.675e-05
49,84.5572,0.49569,0.67298,0.8986,0.9353,0.91419,0.9474,0.78278,0.65318,0.62781,0.92797,6.2e-05,6.2e-05,6.2e-05
50,86.0907,0.48649,0.6582,0.89158,0.93403,0.91469,0.94281,0.78206,0.6519,0.626,0.92807,3.725e-05,3.725e-05,3.725e-05
