epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.17678,1.2427,4.0119,1.42769,0.76349,0.36775,0.47398,0.38196,0.7616,2.16416,1.08514,7.5e-05,7.5e-05,7.5e-05
2,10.85,0.81324,1.33842,1.09143,0.7819,0.85836,0.88694,0.70106,0.74461,1.77517,0.97049,0.000159282,0.000159282,0.000159282
3,15.7222,0.83387,0.95576,1.08553,0.80228,0.91019,0.9243,0.74708,0.73085,1.46729,1.02403,0.0002401,0.0002401,0.0002401
4,20.5241,0.78709,0.84926,1.04717,0.78216,0.82731,0.8972,0.65904,0.89524,1.53049,1.11424,0.000317452,0.000317452,0.000317452
5,25.1108,0.80552,0.82605,1.07367,0.69023,0.83823,0.83313,0.64898,0.85217,1.37893,1.0631,0.00039134,0.00039134,0.00039134
6,29.6801,0.77883,0.79606,1.04302,0.79129,0.86031,0.89936,0.6996,0.8022,2.33195,1.11337,0.000461763,0.000461763,0.000461763
7,34.8047,0.77687,0.7478,1.03087,0.66942,0.84251,0.86726,0.64306,0.8587,2.79068,1.11096,0.00052872,0.00052872,0.00052872
8,39.2933,0.83197,0.76276,1.05779,0.73187,0.8761,0.89211,0.6629,0.88992,2.20187,1.08886,0.000592213,0.000592213,0.000592213
9,43.8118,0.80635,0.75391,1.07341,0.79356,0.85037,0.90247,0.63838,1.00651,2.32349,1.28193,0.00065224,0.00065224,0.00065224
10,48.2993,0.80995,0.74166,1.07123,0.82172,0.7917,0.86988,0.60992,0.96353,1.80096,1.19475,0.000708803,0.000708803,0.000708803
11,52.7807,0.79976,0.7008,1.06612,0.83755,0.79622,0.87919,0.63304,0.90702,1.62471,1.12987,0.0007619,0.0007619,0.0007619
12,57.2897,0.80286,0.69256,1.05956,0.74537,0.75664,0.85088,0.6215,1.05706,1.42933,1.2579,0.000811533,0.000811533,0.000811533
13,61.7196,0.78815,0.70894,1.0652,0.76432,0.7446,0.83288,0.59759,1.03234,1.7046,1.25288,0.0008577,0.0008577,0.0008577
14,66.2452,0.82367,0.69725,1.08543,0.89293,0.81768,0.88979,0.65601,0.98408,1.18433,1.19474,0.000900402,0.000900402,0.000900402
15,70.7051,0.81507,0.66051,1.07589,0.81146,0.80654,0.9002,0.67074,0.97578,1.19335,1.20043,0.0009035,0.0009035,0.0009035
16,75.2027,0.79684,0.67668,1.04286,0.85858,0.84049,0.88263,0.64981,0.95729,1.07565,1.19371,0.00087875,0.00087875,0.00087875
17,79.6608,0.75002,0.62854,1.02341,0.87736,0.77212,0.8645,0.63232,0.93552,1.15524,1.17034,0.000854,0.000854,0.000854
18,84.1101,0.7534,0.61578,1.03771,0.87065,0.86233,0.89543,0.68615,0.88996,0.98341,1.09295,0.00082925,0.00082925,0.00082925
19,88.8179,0.7249,0.58649,1.01114,0.87953,0.8481,0.92328,0.73182,0.82489,0.88616,1.06142,0.0008045,0.0008045,0.0008045
20,93.3082,0.72758,0.61441,1.00172,0.83125,0.83992,0.89913,0.70334,0.86848,0.98921,1.11104,0.00077975,0.00077975,0.00077975
21,97.7359,0.77347,0.62017,1.0533,0.80575,0.90696,0.92303,0.6994,0.89001,0.86999,1.13747,0.000755,0.000755,0.000755
22,102.179,0.69627,0.56782,0.99702,0.91235,0.85965,0.92116,0.7038,0.84029,0.85894,1.08542,0.00073025,0.00073025,0.00073025
23,106.642,0.72333,0.5508,1.02482,0.93621,0.84336,0.91865,0.69389,0.89383,0.91608,1.13694,0.0007055,0.0007055,0.0007055
