epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.08348,1.31413,4.04967,1.56787,0.72566,0.52865,0.56107,0.45826,0.73637,2.22815,1.07155,7.5e-05,7.5e-05,7.5e-05
2,12.5955,0.79163,1.30832,1.07119,0.65055,0.59928,0.72283,0.5538,0.7815,2.51799,1.14491,0.000159282,0.000159282,0.000159282
3,19.1875,0.83372,0.90066,1.10535,0.71206,0.6848,0.73639,0.54315,0.9055,2.13531,1.12719,0.0002401,0.0002401,0.0002401
4,25.4507,0.81698,0.81302,1.08559,0.79776,0.77731,0.87814,0.66395,0.90615,1.20746,1.17487,0.000317452,0.000317452,0.000317452
5,31.9309,0.82501,0.79749,1.09046,0.61322,0.81719,0.86976,0.59752,1.13356,2.48406,1.34226,0.00039134,0.00039134,0.00039134
6,38.2408,0.78961,0.7852,1.04783,0.56502,0.67654,0.69018,0.46888,1.14797,2.33019,1.33631,0.000461763,0.000461763,0.000461763
7,44.6435,0.80293,0.7536,1.0569,0.59982,0.68144,0.69296,0.45021,1.27303,3.48086,1.69978,0.00052872,0.00052872,0.00052872
8,50.8953,0.82812,0.73316,1.06518,0.60131,0.60579,0.64611,0.43492,1.31874,3.27342,1.52207,0.000592213,0.000592213,0.000592213
9,57.4329,0.86924,0.79405,1.11417,0.67943,0.5666,0.65005,0.45005,1.27632,1.95694,1.44121,0.00065224,0.00065224,0.00065224
10,63.6797,0.87546,0.80774,1.12521,0.66987,0.69963,0.72224,0.49735,1.18408,2.04485,1.46337,0.000708803,0.000708803,0.000708803
11,69.9265,0.83975,0.7866,1.08885,0.75786,0.64785,0.71845,0.47415,1.27472,2.50702,1.54376,0.0007619,0.0007619,0.0007619
12,76.317,0.87124,0.73808,1.09686,0.47436,0.57069,0.41353,0.27062,1.1202,9.36504,1.40157,0.000811533,0.000811533,0.000811533
13,82.5418,0.83727,0.71694,1.08403,0.7368,0.70876,0.73906,0.50559,1.07884,1.63651,1.37624,0.0008577,0.0008577,0.0008577
